1.00000000	0.00000000
0.99975328	0.00003638
0.99901336	0.00014541
0.99778098	0.00032679
0.99605735	0.00058001
0.99384417	0.00090438
0.99114363	0.00129898
0.98795838	0.00176275
0.98429158	0.00229441
0.98014684	0.00289254
0.97552826	0.00355553
0.97044038	0.00428165
0.96488824	0.00506899
0.95887731	0.00591554
0.95241353	0.00681915
0.94550326	0.00777757
0.93815334	0.00878847
0.93037101	0.00984939
0.92216396	0.01095784
0.91354029	0.01211122
0.90450850	0.01330692
0.89507751	0.01454224
0.88525662	0.01581446
0.87505553	0.01712082
0.86448431	0.01845853
0.85355339	0.01982479
0.84227355	0.02121674
0.83065593	0.02263155
0.81871199	0.02406633
0.80645353	0.02551820
0.79389263	0.02698423
0.78104169	0.02846150
0.76791340	0.02994705
0.75452071	0.03143788
0.74087684	0.03293099
0.72699525	0.03442331
0.71288965	0.03591176
0.69857395	0.03739319
0.68406228	0.03886441
0.66936896	0.04032220
0.65450850	0.04176326
0.63949555	0.04318423
0.62434494	0.04458172
0.60907162	0.04595226
0.59369066	0.04729234
0.57821723	0.04859837
0.56266662	0.04986675
0.54705416	0.05109379
0.53139526	0.05227581
0.51570538	0.05340908
0.50000000	0.05448985
0.48429462	0.05551437
0.46860474	0.05647890
0.45294584	0.05737974
0.43733338	0.05821321
0.42178277	0.05897569
0.40630934	0.05966366
0.39092838	0.06027368
0.37565506	0.06080242
0.36050445	0.06124672
0.34549150	0.06160354
0.33063104	0.06187005
0.31593772	0.06204360
0.30142605	0.06212177
0.28711035	0.06210238
0.27300475	0.06198348
0.25912316	0.06176342
0.24547929	0.06144081
0.23208660	0.06101457
0.21895831	0.06048392
0.20610737	0.05984837
0.19354647	0.05910778
0.18128801	0.05826230
0.16934407	0.05731240
0.15772645	0.05625888
0.14644661	0.05510282
0.13551569	0.05384560
0.12494447	0.05248889
0.11474338	0.05103461
0.10492249	0.04948495
0.09549150	0.04784231
0.08645971	0.04610928
0.07783604	0.04428866
0.06962899	0.04238337
0.06184666	0.04039648
0.05449674	0.03833113
0.04758647	0.03619052
0.04112269	0.03397789
0.03511176	0.03169649
0.02955962	0.02934951
0.02447174	0.02694008
0.01985316	0.02447126
0.01570842	0.02194595
0.01204162	0.01936694
0.00885637	0.01673680
0.00615583	0.01405793
0.00394265	0.01133250
0.00221902	0.00856245
0.00098664	0.00574945
0.00024672	0.00289492
0.00000000	0.00000000
0.00024672	-0.00289492
0.00098664	-0.00574945
0.00221902	-0.00856245
0.00394265	-0.01133250
0.00615583	-0.01405793
0.00885637	-0.01673680
0.01204162	-0.01936694
0.01570842	-0.02194595
0.01985316	-0.02447126
0.02447174	-0.02694008
0.02955962	-0.02934951
0.03511176	-0.03169649
0.04112269	-0.03397789
0.04758647	-0.03619052
0.05449674	-0.03833112
0.06184666	-0.04039648
0.06962899	-0.04238337
0.07783604	-0.04428866
0.08645971	-0.04610928
0.09549150	-0.04784231
0.10492249	-0.04948495
0.11474338	-0.05103461
0.12494447	-0.05248889
0.13551569	-0.05384560
0.14644661	-0.05510282
0.15772645	-0.05625888
0.16934407	-0.05731240
0.18128801	-0.05826230
0.19354647	-0.05910778
0.20610737	-0.05984837
0.21895831	-0.06048391
0.23208660	-0.06101457
0.24547929	-0.06144081
0.25912316	-0.06176342
0.27300475	-0.06198348
0.28711035	-0.06210238
0.30142605	-0.06212177
0.31593772	-0.06204360
0.33063104	-0.06187005
0.34549150	-0.06160354
0.36050445	-0.06124672
0.37565506	-0.06080242
0.39092838	-0.06027368
0.40630934	-0.05966366
0.42178277	-0.05897569
0.43733338	-0.05821321
0.45294584	-0.05737974
0.46860474	-0.05647890
0.48429462	-0.05551437
0.50000000	-0.05448985
0.51570538	-0.05340908
0.53139526	-0.05227581
0.54705416	-0.05109379
0.56266662	-0.04986675
0.57821723	-0.04859837
0.59369066	-0.04729234
0.60907162	-0.04595226
0.62434494	-0.04458172
0.63949555	-0.04318423
0.65450850	-0.04176326
0.66936896	-0.04032220
0.68406228	-0.03886441
0.69857395	-0.03739319
0.71288965	-0.03591176
0.72699525	-0.03442331
0.74087684	-0.03293099
0.75452071	-0.03143788
0.76791340	-0.02994705
0.78104169	-0.02846150
0.79389263	-0.02698423
0.80645353	-0.02551820
0.81871199	-0.02406633
0.83065593	-0.02263155
0.84227355	-0.02121674
0.85355339	-0.01982479
0.86448431	-0.01845853
0.87505553	-0.01712082
0.88525662	-0.01581446
0.89507751	-0.01454224
0.90450850	-0.01330692
0.91354029	-0.01211122
0.92216396	-0.01095784
0.93037101	-0.00984939
0.93815334	-0.00878847
0.94550326	-0.00777757
0.95241353	-0.00681915
0.95887731	-0.00591554
0.96488824	-0.00506899
0.97044038	-0.00428165
0.97552826	-0.00355553
0.98014684	-0.00289254
0.98429158	-0.00229441
0.98795838	-0.00176275
0.99114363	-0.00129898
0.99384417	-0.00090438
0.99605735	-0.00058001
0.99778098	-0.00032679
0.99901336	-0.00014541
0.99975328	-0.00003638
1.00000000	0.00000000
